start.date;duration.s;peak.c/s;total.counts;min energy.kev;max energy.kev
29.03.2002;168;560;230496;12;25
29.03.2002;132;60;35328;6;12
29.03.2002;276;64;61536;6;12
29.03.2002;508;56;105696;6;12
29.03.2002;260;40;46368;6;12
29.03.2002;468;912;643848;12;25
29.03.2002;172;1;907;6;12
29.03.2002;424;4;3789;12;25
29.03.2002;276;1;1405;6;12
29.03.2002;416;2;2350;6;12
29.03.2002;1408;192;223653;12;25
29.03.2002;876;15;38016;12;25
29.03.2002;800;1264;2386176;12;25
29.03.2002;1280;1840;1745952;25;50
29.03.2002;1288;288;1258272;6;12
29.03.2002;332;848;450408;12;25
29.03.2002;216;152;144216;6;12
29.03.2002;772;256;738528;6;12
29.03.2002;992;168;521664;6;12
29.03.2002;200;84;51120;6;12
29.03.2002;320;72;101040;6;12
29.03.2002;984;416;1082304;6;12
29.03.2002;196;120;93360;6;12
29.03.2002;528;656;622056;12;25
29.03.2002;2892;1712;9944256;12;25
30.03.2002;272;560;662688;3;6
30.03.2002;388;1328;1730688;12;25
30.03.2002;800;944;1852704;12;25
30.03.2002;500;384;579168;12;25
30.03.2002;852;656;1360608;12;25
30.03.2002;1140;2160;4162032;12;25
30.03.2002;204;88;81216;6;12
30.03.2002;464;120;205920;6;12
30.03.2002;576;624;655872;12;25
30.03.2002;524;560;385776;12;25
30.03.2002;440;128;159216;6;12
30.03.2002;616;2160;1545936;12;25
30.03.2002;228;68;66336;6;12
30.03.2002;180;160;137472;6;12
30.03.2002;656;160;442848;6;12
30.03.2002;1820;1200;3119712;12;25
30.03.2002;272;88;101424;6;12
30.03.2002;16;1;104;6;12
30.03.2002;700;6;14495;12;25
30.03.2002;264;3;2796;6;12
30.03.2002;284;3;3158;12;25
30.03.2002;1328;152;228883;12;25
30.03.2002;672;10;24294;6;12
30.03.2002;848;84;80083;12;25
30.03.2002;552;19;27344;6;12
30.03.2002;192;52;43056;6;12
30.03.2002;652;80;193632;6;12
30.03.2002;588;108;201648;6;12
